model,location,target_type,weights,forecast_date,nmod
epiforecasts-EpiNow2,LV,Deaths,0.424534591137147,2021-04-19,3
epiforecasts-EpiNow2,MT,Cases,0.413772118541295,2021-04-19,3
epiforecasts-EpiNow2,MT,Deaths,0.439182804972388,2021-04-19,3
epiforecasts-EpiNow2,NO,Cases,0.358652098538656,2021-04-19,3
epiforecasts-EpiNow2,PT,Cases,0.320914007483961,2021-04-19,3
epiforecasts-EpiNow2,PT,Deaths,0.323031916075959,2021-04-19,3
epiforecasts-EpiNow2,RO,Cases,0.465018141117468,2021-04-19,3
epiforecasts-EpiNow2,RO,Deaths,0.470679188974958,2021-04-19,3
DSMPG-bayes,BG,Cases,0.223123648611907,2021-04-26,3
DSMPG-bayes,EE,Cases,0.400868484089118,2021-04-26,3
DSMPG-bayes,FI,Cases,0.319812535454016,2021-04-26,3
DSMPG-bayes,HU,Cases,0.410268702146094,2021-04-26,3
DSMPG-bayes,LT,Cases,0.330234308895268,2021-04-26,3
DSMPG-bayes,LV,Cases,0.419960002809712,2021-04-26,3
DSMPG-bayes,MT,Cases,0.307775025128587,2021-04-26,3
IEM_Health-CovidProject,AT,Cases,0.317107259922547,2021-04-26,3
IEM_Health-CovidProject,AT,Deaths,0.290750318547928,2021-04-26,3
IEM_Health-CovidProject,BE,Cases,0.289050992086664,2021-04-26,3
IEM_Health-CovidProject,CY,Cases,0.303119899313085,2021-04-26,3
IEM_Health-CovidProject,ES,Cases,0.470443112190211,2021-04-26,3
IEM_Health-CovidProject,FI,Deaths,0.284058112282845,2021-04-26,3
IEM_Health-CovidProject,GR,Cases,0.312662032418441,2021-04-26,3
IEM_Health-CovidProject,GR,Deaths,0.304007041306823,2021-04-26,3
IEM_Health-CovidProject,IT,Cases,0.290386680895135,2021-04-26,3
IEM_Health-CovidProject,LT,Deaths,0.251652780402041,2021-04-26,3
IEM_Health-CovidProject,LU,Deaths,0.350532274818852,2021-04-26,3
IEM_Health-CovidProject,MT,Deaths,0.268118094917264,2021-04-26,3
IEM_Health-CovidProject,NO,Cases,0.209281598419975,2021-04-26,3
IEM_Health-CovidProject,PT,Cases,0.274784523769623,2021-04-26,3
IEM_Health-CovidProject,PT,Deaths,0.383774218899583,2021-04-26,3
IEM_Health-CovidProject,RO,Deaths,0.210869056107357,2021-04-26,3
IEM_Health-CovidProject,SI,Cases,0.307604696341976,2021-04-26,3
