model,location,target_type,forecast_date,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,target_end_date
EuroCOVIDhub-baseline,PL,Cases,2021-05-10,1,5191.50130434783,3825.39130434783,0,1366.11,0.7,0,1,7864,2021-05-15
ICM-agentModel,PL,Cases,2021-05-10,1,1447.97,0,16.1304347826087,1431.83956521739,-0.1,1,1,371,2021-05-15
IEM_Health-CovidProject,PL,Cases,2021-05-10,1,3350.77521739131,1925.30434782609,0,1425.47086956522,0.7,0,1,6246,2021-05-15
ILM-EKF,PL,Cases,2021-05-10,1,1657.81260869565,0,695.826086956522,961.986521739131,-0.5,1,1,3120,2021-05-15
ITWW-county_repro,PL,Cases,2021-05-10,1,1295.5547826087,987.608695652174,0,307.946086956522,0.9,0,1,2185,2021-05-15
MIMUW-StochSEIR,PL,Cases,2021-05-10,1,3702.09434782609,3329.65217391304,0,372.442173913043,1,0,0,4988,2021-05-15
MIT_CovidAnalytics-DELPHI,PL,Cases,2021-05-10,1,3858.93608695652,0,690,3168.93608695652,-0.3,1,1,5500,2021-05-15
MOCOS-agent1,PL,Cases,2021-05-10,1,487.303913043478,131.391304347826,0,355.912608695652,0.4,1,1,798,2021-05-15
MUNI-ARIMA,PL,Cases,2021-05-10,1,1879.78391304348,207.652173913043,0,1672.13173913043,0.3,1,1,2064,2021-05-15
PL_GRedlarski-DistrictsSum,PL,Cases,2021-05-10,1,1922.00434782609,1379.08695652174,0,542.917391304348,0.9,0,1,3391,2021-05-15
UMass-SemiMech,PL,Cases,2021-05-10,1,6917.64869565217,5079.95652173913,0,1837.69217391304,0.9,0,1,11577,2021-05-15
epiforecasts-EpiExpert,PL,Cases,2021-05-10,1,1071.63347826087,16.1739130434783,0,1055.45956521739,0.1,1,1,372,2021-05-15
epiforecasts-EpiExpert_Rt,PL,Cases,2021-05-10,1,1345.83217391304,105.869565217391,0,1239.96260869565,0.2,1,1,1213,2021-05-15
epiforecasts-EpiExpert_direct,PL,Cases,2021-05-10,1,866.881739130435,0,180.260869565217,686.620869565217,-0.4,1,1,1310,2021-05-15
epiforecasts-EpiNow2,PL,Cases,2021-05-10,1,855.026956521739,0,17.5652173913043,837.461739130435,-0.1,1,1,404,2021-05-15
EuroCOVIDhub-baseline,PL,Cases,2021-05-10,2,10338.0908695652,7263.47826086957,0,3074.61260869565,0.7,0,1,17944,2021-05-22
ICM-agentModel,PL,Cases,2021-05-10,2,3173.97652173913,2252.17391304348,0,921.802608695652,0.9,0,1,5642,2021-05-22
IEM_Health-CovidProject,PL,Cases,2021-05-10,2,7987.72565217391,6425.73913043478,0,1561.98652173913,0.98,0,0,12308,2021-05-22
ILM-EKF,PL,Cases,2021-05-10,2,1152.37913043478,0,4.86956521739131,1147.50956521739,-0.1,1,1,112,2021-05-22
ITWW-county_repro,PL,Cases,2021-05-10,2,4494.26913043478,4088.69565217391,0,405.57347826087,1,0,0,5786,2021-05-22
MIMUW-StochSEIR,PL,Cases,2021-05-10,2,7103.36130434783,6765.56521739131,0,337.796086956522,1,0,0,8256,2021-05-22
MIT_CovidAnalytics-DELPHI,PL,Cases,2021-05-10,2,3931.87043478261,0,170.869565217391,3761.00086956522,-0.2,1,1,3128,2021-05-22
MOCOS-agent1,PL,Cases,2021-05-10,2,1856.88565217391,1512.91304347826,0,343.972608695652,0.9,0,1,3395,2021-05-22
MUNI-ARIMA,PL,Cases,2021-05-10,2,3936.3047826087,385.869565217391,0,3550.4352173913,0.3,1,1,4161,2021-05-22
PL_GRedlarski-DistrictsSum,PL,Cases,2021-05-10,2,5471.67217391304,4597.82608695652,0,873.846086956522,0.98,0,0,8178,2021-05-22
UMass-SemiMech,PL,Cases,2021-05-10,2,12789.9143478261,10218.9130434783,0,2571.00130434783,1,0,0,19127,2021-05-22
epiforecasts-EpiExpert,PL,Cases,2021-05-10,2,2897.12391304348,1583.73913043478,0,1313.3847826087,0.7,0,1,5214,2021-05-22
epiforecasts-EpiExpert_Rt,PL,Cases,2021-05-10,2,4392.59652173913,2697.08695652174,0,1695.50956521739,0.8,0,1,7737,2021-05-22
epiforecasts-EpiExpert_direct,PL,Cases,2021-05-10,2,556.557391304348,7.39130434782609,0,549.166086956522,0.1,1,1,170,2021-05-22
epiforecasts-EpiNow2,PL,Cases,2021-05-10,2,2593.09739130435,1221.34782608696,0,1371.74956521739,0.7,0,1,4339,2021-05-22
EuroCOVIDhub-baseline,PL,Cases,2021-05-10,3,13015.5743478261,8443.30434782609,0,4572.27,0.7,0,1,23754,2021-05-29
ICM-agentModel,PL,Cases,2021-05-10,3,10095.5595652174,9310.39130434783,0,785.168260869565,1,0,0,12879,2021-05-29
IEM_Health-CovidProject,PL,Cases,2021-05-10,3,11751.2356521739,9974,0,1777.23565217391,1,0,0,16366,2021-05-29
ILM-EKF,PL,Cases,2021-05-10,3,1239.90043478261,113.304347826087,0,1126.59608695652,0.3,1,1,1228,2021-05-29
ITWW-county_repro,PL,Cases,2021-05-10,3,5449.68739130435,5003.34782608696,0,446.339565217391,1,0,0,6787,2021-05-29
MIMUW-StochSEIR,PL,Cases,2021-05-10,3,7172.54739130435,6720.47826086957,0,452.069130434783,1,0,0,8643,2021-05-29
MIT_CovidAnalytics-DELPHI,PL,Cases,2021-05-10,3,3841.55434782609,0,78.3913043478261,3763.16304347826,-0.1,1,1,1803,2021-05-29
MOCOS-agent1,PL,Cases,2021-05-10,3,2704.96304347826,2399.52173913044,0,305.441304347826,1,0,0,4193,2021-05-29
MUNI-ARIMA,PL,Cases,2021-05-10,3,4749.75652173913,245.695652173913,0,4504.06086956522,0.2,1,1,3491,2021-05-29
PL_GRedlarski-DistrictsSum,PL,Cases,2021-05-10,3,8164.71304347826,6925.78260869565,0,1238.93043478261,1,0,0,11503,2021-05-29
UMass-SemiMech,PL,Cases,2021-05-10,3,15720.5895652174,12618.1304347826,0,3102.45913043478,1,0,0,22081,2021-05-29
epiforecasts-EpiExpert,PL,Cases,2021-05-10,3,5477.54869565218,3826.13043478261,0,1651.41826086957,0.95,0,0,8837,2021-05-29
epiforecasts-EpiExpert_Rt,PL,Cases,2021-05-10,3,6626.71521739131,4466.39130434783,0,2160.32391304348,0.9,0,1,10781,2021-05-29
epiforecasts-EpiExpert_direct,PL,Cases,2021-05-10,3,3230.27652173913,2596.65217391304,0,633.624347826087,0.98,0,0,4951,2021-05-29
epiforecasts-EpiNow2,PL,Cases,2021-05-10,3,3976.89043478261,2238.47826086957,0,1738.41217391304,0.9,0,1,6275,2021-05-29
EuroCOVIDhub-baseline,PL,Cases,2021-05-10,4,14473.6817391304,8751.5652173913,0,5722.11652173913,0.7,0,1,27126,2021-06-05
ICM-agentModel,PL,Cases,2021-05-10,4,18213.2713043478,17330.4347826087,0,882.836521739131,1,0,0,21278,2021-06-05
IEM_Health-CovidProject,PL,Cases,2021-05-10,4,14311.2386956522,12123.1739130435,0,2188.0647826087,1,0,0,19415,2021-06-05
ILM-EKF,PL,Cases,2021-05-10,4,1280.13434782609,273.434782608696,0,1006.69956521739,0.4,1,1,1719,2021-06-05
ITWW-county_repro,PL,Cases,2021-05-10,4,5639.56869565218,5163.91304347826,0,475.655652173913,1,0,0,6964,2021-06-05
MIMUW-StochSEIR,PL,Cases,2021-05-10,4,4997.34869565217,4389.17391304348,0,608.174782608696,1,0,0,6691,2021-06-05
MIT_CovidAnalytics-DELPHI,PL,Cases,2021-05-10,4,3813.83260869565,0,39.6086956521739,3774.22391304348,-0.1,1,1,911,2021-06-05
MOCOS-agent1,PL,Cases,2021-05-10,4,2898.55652173913,2651.65217391304,0,246.904347826087,1,0,0,4114,2021-06-05
MUNI-ARIMA,PL,Cases,2021-05-10,4,4930.99434782609,71.4782608695652,0,4859.51608695652,0.1,1,1,1644,2021-06-05
PL_GRedlarski-DistrictsSum,PL,Cases,2021-05-10,4,10169.6630434783,8451.21739130435,0,1718.44565217391,1,0,0,14170,2021-06-05
UMass-SemiMech,PL,Cases,2021-05-10,4,16776.4234782609,13140.5217391304,0,3635.90173913044,1,0,0,23592,2021-06-05
epiforecasts-EpiExpert,PL,Cases,2021-05-10,4,6788.33304347826,4850.21739130435,0,1938.11565217391,0.98,0,0,10343,2021-06-05
epiforecasts-EpiExpert_Rt,PL,Cases,2021-05-10,4,7558.93826086956,4999.26086956522,0,2559.67739130435,0.95,0,0,11883,2021-06-05
epiforecasts-EpiExpert_direct,PL,Cases,2021-05-10,4,5448.49391304348,4753.47826086957,0,695.015652173913,1,0,0,7264,2021-06-05
epiforecasts-EpiNow2,PL,Cases,2021-05-10,4,4516.92652173913,2566.52173913044,0,1950.4047826087,0.95,0,0,6640,2021-06-05
EuroCOVIDhub-baseline,PL,Deaths,2021-05-10,1,118.948695652174,88.9130434782609,0,30.0356521739131,0.7,0,1,199,2021-05-15
ICM-agentModel,PL,Deaths,2021-05-10,1,424.614782608696,0,318.391304347826,106.22347826087,-0.9,0,1,727,2021-05-15
IEM_Health-CovidProject,PL,Deaths,2021-05-10,1,238.15652173913,87.9130434782609,0,150.24347826087,0.5,1,1,398,2021-05-15
ILM-EKF,PL,Deaths,2021-05-10,1,179.072173913044,0,96.6086956521739,82.4634782608696,-0.6,0,1,348,2021-05-15
ITWW-county_repro,PL,Deaths,2021-05-10,1,453.464782608696,0,445.391304347826,8.07347826086957,-1,0,0,482,2021-05-15
MIMUW-StochSEIR,PL,Deaths,2021-05-10,1,25.7817391304348,13.9130434782609,0,11.8686956521739,0.7,0,1,48,2021-05-15
MIT_CovidAnalytics-DELPHI,PL,Deaths,2021-05-10,1,107.433043478261,0,5.47826086956522,101.954782608696,-0.2,1,1,82,2021-05-15
MOCOS-agent1,PL,Deaths,2021-05-10,1,112.144782608696,0,67.9565217391304,44.1882608695652,-0.8,0,1,201,2021-05-15
MUNI-ARIMA,PL,Deaths,2021-05-10,1,186.73,140.04347826087,0,46.6865217391304,0.9,0,1,317,2021-05-15
RobertWalraven-ESG,PL,Deaths,2021-05-10,1,51.8608695652174,18.4347826086957,0,33.4260869565217,0.5,1,1,92,2021-05-15
UMass-MechBayes,PL,Deaths,2021-05-10,1,95.6530434782609,0,10.6086956521739,85.044347826087,-0.3,1,1,112,2021-05-15
UMass-SemiMech,PL,Deaths,2021-05-10,1,152.405652173913,0,73.6956521739131,78.71,-0.6,0,1,293,2021-05-15
epiforecasts-EpiExpert,PL,Deaths,2021-05-10,1,172.815217391304,0,110.434782608696,62.3804347826087,-0.7,0,1,332,2021-05-15
epiforecasts-EpiExpert_Rt,PL,Deaths,2021-05-10,1,283.303043478261,0,205.347826086957,77.9552173913044,-0.8,0,1,527,2021-05-15
epiforecasts-EpiExpert_direct,PL,Deaths,2021-05-10,1,75.2360869565217,0,28.5652173913044,46.6708695652174,-0.5,1,1,137,2021-05-15
epiforecasts-EpiNow2,PL,Deaths,2021-05-10,1,236.325652173913,0,124.217391304348,112.108260869565,-0.6,0,1,473,2021-05-15
EuroCOVIDhub-baseline,PL,Deaths,2021-05-10,2,423.046086956522,362.739130434783,0,60.3069565217392,0.9,0,1,669,2021-05-22
ICM-agentModel,PL,Deaths,2021-05-10,2,469.774782608696,0,417.434782608696,52.34,-1,0,0,655,2021-05-22
IEM_Health-CovidProject,PL,Deaths,2021-05-10,2,471.412608695652,271,0,200.412608695652,0.8,0,1,805,2021-05-22
ILM-EKF,PL,Deaths,2021-05-10,2,186.538695652174,0,122.739130434783,63.7995652173913,-0.7,0,1,357,2021-05-22
ITWW-county_repro,PL,Deaths,2021-05-10,2,394.077391304348,0,385.652173913044,8.42521739130435,-1,0,0,424,2021-05-22
MIMUW-StochSEIR,PL,Deaths,2021-05-10,2,17.4969565217391,5.21739130434783,0,12.2795652173913,0.4,1,1,30,2021-05-22
MIT_CovidAnalytics-DELPHI,PL,Deaths,2021-05-10,2,145.482608695652,0,1.65217391304348,143.830434782609,-0.1,1,1,38,2021-05-22
MOCOS-agent1,PL,Deaths,2021-05-10,2,150.634347826087,0,112.217391304348,38.4169565217391,-0.95,0,0,249,2021-05-22
MUNI-ARIMA,PL,Deaths,2021-05-10,2,356.14347826087,274,0,82.1434782608696,0.95,0,0,590,2021-05-22
RobertWalraven-ESG,PL,Deaths,2021-05-10,2,80.8669565217391,39.1304347826087,0,41.7365217391304,0.6,0,1,152,2021-05-22
UMass-MechBayes,PL,Deaths,2021-05-10,2,69.7456521739131,0,0.652173913043478,69.0934782608696,-0.1,1,1,15,2021-05-22
UMass-SemiMech,PL,Deaths,2021-05-10,2,88.2030434782609,0,17.3478260869565,70.8552173913043,-0.3,1,1,133,2021-05-22
epiforecasts-EpiExpert,PL,Deaths,2021-05-10,2,119.565652173913,0,68.8695652173913,50.6960869565218,-0.7,0,1,230,2021-05-22
epiforecasts-EpiExpert_Rt,PL,Deaths,2021-05-10,2,237.863043478261,0,181.869565217391,55.9934782608696,-0.9,0,1,421,2021-05-22
epiforecasts-EpiExpert_direct,PL,Deaths,2021-05-10,2,48.0730434782609,0,2.73913043478261,45.3339130434783,-0.2,1,1,39,2021-05-22
epiforecasts-EpiNow2,PL,Deaths,2021-05-10,2,209.202608695652,0,132.565217391304,76.6373913043478,-0.7,0,1,401,2021-05-22
EuroCOVIDhub-baseline,PL,Deaths,2021-05-10,3,795.679130434783,711.304347826087,0,84.3747826086957,0.98,0,0,1142,2021-05-29
ICM-agentModel,PL,Deaths,2021-05-10,3,252.067826086957,0,218.869565217391,33.1982608695652,-1,0,0,366,2021-05-29
IEM_Health-CovidProject,PL,Deaths,2021-05-10,3,800.332173913044,555.04347826087,0,245.288695652174,0.95,0,0,1264,2021-05-29
ILM-EKF,PL,Deaths,2021-05-10,3,115.241739130435,0,71.1739130434783,44.0678260869565,-0.7,0,1,223,2021-05-29
ITWW-county_repro,PL,Deaths,2021-05-10,3,165.885217391304,0,155.434782608696,10.4504347826087,-1,0,0,205,2021-05-29
MIMUW-StochSEIR,PL,Deaths,2021-05-10,3,72.6952173913044,49.8260869565218,0,22.8691304347826,0.8,0,1,130,2021-05-29
MIT_CovidAnalytics-DELPHI,PL,Deaths,2021-05-10,3,174.765652173913,4.08695652173913,0,170.678695652174,0.1,1,1,94,2021-05-29
MOCOS-agent1,PL,Deaths,2021-05-10,3,63.054347826087,0,30.8695652173913,32.1847826086957,-0.7,0,1,108,2021-05-29
MUNI-ARIMA,PL,Deaths,2021-05-10,3,569.395652173913,451.739130434783,0,117.65652173913,0.95,0,0,894,2021-05-29
RobertWalraven-ESG,PL,Deaths,2021-05-10,3,182.820869565217,132.739130434783,0,50.0817391304348,0.9,0,1,321,2021-05-29
UMass-MechBayes,PL,Deaths,2021-05-10,3,81.6934782608696,28.3913043478261,0,53.3021739130435,0.5,1,1,143,2021-05-29
UMass-SemiMech,PL,Deaths,2021-05-10,3,88.8017391304348,22.2608695652174,0,66.5408695652174,0.4,1,1,132,2021-05-29
epiforecasts-EpiExpert,PL,Deaths,2021-05-10,3,46.9004347826087,0.130434782608696,0,46.77,0.1,1,1,3,2021-05-29
epiforecasts-EpiExpert_Rt,PL,Deaths,2021-05-10,3,86.8873913043478,0,37.3478260869565,49.5395652173913,-0.5,1,1,165,2021-05-29
epiforecasts-EpiExpert_direct,PL,Deaths,2021-05-10,3,94.1634782608696,50.0869565217391,0,44.0765217391304,0.7,0,1,172,2021-05-29
epiforecasts-EpiNow2,PL,Deaths,2021-05-10,3,98.6426086956522,0,34.4347826086957,64.2078260869565,-0.5,1,1,182,2021-05-29
EuroCOVIDhub-baseline,PL,Deaths,2021-05-10,4,1082.13304347826,979,0,103.133043478261,1,0,0,1485,2021-06-05
ICM-agentModel,PL,Deaths,2021-05-10,4,80.7556521739131,0,60.304347826087,20.4513043478261,-0.9,0,1,139,2021-06-05
IEM_Health-CovidProject,PL,Deaths,2021-05-10,4,1100.70739130435,808.782608695652,0,291.924782608696,1,0,0,1630,2021-06-05
ILM-EKF,PL,Deaths,2021-05-10,4,50.1921739130435,0,16.304347826087,33.8878260869565,-0.4,1,1,89,2021-06-05
ITWW-county_repro,PL,Deaths,2021-05-10,4,15.9913043478261,0,4.04347826086957,11.9478260869565,-0.4,1,1,27,2021-06-05
MIMUW-StochSEIR,PL,Deaths,2021-05-10,4,100.378695652174,65.1739130434783,0,35.2047826086957,0.8,0,1,181,2021-06-05
MIT_CovidAnalytics-DELPHI,PL,Deaths,2021-05-10,4,195.412608695652,12.6521739130435,0,182.760434782609,0.2,1,1,177,2021-06-05
MOCOS-agent1,PL,Deaths,2021-05-10,4,25.9521739130435,0.347826086956522,0,25.604347826087,0.1,1,1,8,2021-06-05
MUNI-ARIMA,PL,Deaths,2021-05-10,4,720.535652173913,568.782608695652,0,151.753043478261,0.98,0,0,1124,2021-06-05
RobertWalraven-ESG,PL,Deaths,2021-05-10,4,278.197391304348,219.782608695652,0,58.4147826086957,0.95,0,0,461,2021-06-05
UMass-MechBayes,PL,Deaths,2021-05-10,4,149.226956521739,104.913043478261,0,44.3139130434783,0.9,0,1,253,2021-06-05
UMass-SemiMech,PL,Deaths,2021-05-10,4,220.408260869565,143.695652173913,0,76.7126086956522,0.9,0,1,363,2021-06-05
epiforecasts-EpiExpert,PL,Deaths,2021-05-10,4,113.90652173913,64.5217391304348,0,49.3847826086957,0.8,0,1,200,2021-06-05
epiforecasts-EpiExpert_Rt,PL,Deaths,2021-05-10,4,61.6173913043478,6.52173913043478,0,55.0956521739131,0.3,1,1,64,2021-06-05
epiforecasts-EpiExpert_direct,PL,Deaths,2021-05-10,4,218.524782608696,174.782608695652,0,43.7421739130435,0.98,0,0,336,2021-06-05
epiforecasts-EpiNow2,PL,Deaths,2021-05-10,4,62.9921739130435,0.608695652173913,0,62.3834782608696,0.1,1,1,14,2021-06-05
EuroCOVIDhub-baseline,CZ,Cases,2021-05-17,1,1737.74652173913,969.695652173913,0,768.050869565218,0.6,0,1,2583,2021-05-22
IEM_Health-CovidProject,CZ,Cases,2021-05-17,1,1490.68652173913,1024.5652173913,0,466.121304347826,0.9,0,1,2645,2021-05-22
ILM-EKF,CZ,Cases,2021-05-17,1,505.533043478261,154.086956521739,0,351.446086956522,0.5,1,1,838,2021-05-22
MUNI-ARIMA,CZ,Cases,2021-05-17,1,878.774782608696,265.434782608696,0,613.34,0.5,1,1,1467,2021-05-22
MUNI_DMS-SEIAR,CZ,Cases,2021-05-17,1,308.710869565217,0,3.52173913043478,305.189130434783,-0.1,1,1,81,2021-05-22
RobertWalraven-ESG,CZ,Cases,2021-05-17,1,504.146086956522,0,25.0434782608696,479.102608695652,-0.2,1,1,380,2021-05-22
UMass-SemiMech,CZ,Cases,2021-05-17,1,851.431304347826,396.782608695652,0,454.648695652174,0.6,0,1,1510,2021-05-22
epiforecasts-EpiNow2,CZ,Cases,2021-05-17,1,498.097391304348,193.304347826087,0,304.793043478261,0.5,1,1,890,2021-05-22
EuroCOVIDhub-baseline,CZ,Cases,2021-05-17,2,2796.37,1189.5652173913,0,1606.8047826087,0.5,1,1,4526,2021-05-29
IEM_Health-CovidProject,CZ,Cases,2021-05-17,2,2384.48173913043,1857.86956521739,0,526.612173913043,0.98,0,0,3773,2021-05-29
ILM-EKF,CZ,Cases,2021-05-17,2,689.056956521739,253.913043478261,0,435.143913043478,0.6,0,1,1168,2021-05-29
MUNI-ARIMA,CZ,Cases,2021-05-17,2,1527.64347826087,227.913043478261,0,1299.73043478261,0.3,1,1,1890,2021-05-29
MUNI_DMS-SEIAR,CZ,Cases,2021-05-17,2,323.97652173913,95.3913043478261,0,228.585217391304,0.4,1,1,548,2021-05-29
RobertWalraven-ESG,CZ,Cases,2021-05-17,2,620.92652173913,31.0869565217391,0,589.839565217391,0.2,1,1,473,2021-05-29
UMass-SemiMech,CZ,Cases,2021-05-17,2,1173.3347826087,689.95652173913,0,483.378260869565,0.8,0,1,2015,2021-05-29
epiforecasts-EpiNow2,CZ,Cases,2021-05-17,2,701.095217391304,394.130434782609,0,306.964782608696,0.7,0,1,1287,2021-05-29
EuroCOVIDhub-baseline,CZ,Cases,2021-05-17,3,3335.27695652174,1074.73913043478,0,2260.53782608696,0.4,1,1,5475,2021-06-05
IEM_Health-CovidProject,CZ,Cases,2021-05-17,3,2777.95739130435,2178.91304347826,0,599.044347826087,1,0,0,4167,2021-06-05
ILM-EKF,CZ,Cases,2021-05-17,3,623.758260869565,155.913043478261,0,467.845217391304,0.4,1,1,924,2021-06-05
MUNI-ARIMA,CZ,Cases,2021-05-17,3,1906.21347826087,105.695652173913,0,1800.51782608696,0.2,1,1,1443,2021-06-05
MUNI_DMS-SEIAR,CZ,Cases,2021-05-17,3,253.01652173913,85.6521739130435,0,167.364347826087,0.5,1,1,444,2021-06-05
RobertWalraven-ESG,CZ,Cases,2021-05-17,3,737.109565217391,55.4347826086957,0,681.674782608696,0.2,1,1,707,2021-06-05
UMass-SemiMech,CZ,Cases,2021-05-17,3,1096.99652173913,640.782608695652,0,456.213913043478,0.8,0,1,1860,2021-06-05
epiforecasts-EpiNow2,CZ,Cases,2021-05-17,3,598.326086956522,309.826086956522,0,288.5,0.7,0,1,1106,2021-06-05
EuroCOVIDhub-baseline,CZ,Cases,2021-05-17,4,3802.22739130435,1033.30434782609,0,2768.92304347826,0.4,1,1,6244,2021-06-12
IEM_Health-CovidProject,CZ,Cases,2021-05-17,4,3182.6652173913,2482.26086956522,0,700.404347826087,1,0,0,4522,2021-06-12
ILM-EKF,CZ,Cases,2021-05-17,4,597.165217391304,131.04347826087,0,466.121739130435,0.4,1,1,814,2021-06-12
MUNI-ARIMA,CZ,Cases,2021-05-17,4,2276.04826086957,35.5217391304348,0,2240.52652173913,0.1,1,1,817,2021-06-12
MUNI_DMS-SEIAR,CZ,Cases,2021-05-17,4,218.86652173913,98.4347826086957,0,120.431739130435,0.6,0,1,408,2021-06-12
RobertWalraven-ESG,CZ,Cases,2021-05-17,4,845.834347826087,90.4347826086957,0,755.399565217391,0.3,1,1,1012,2021-06-12
UMass-SemiMech,CZ,Cases,2021-05-17,4,1061.99913043478,616,0,445.999130434783,0.9,0,1,1726,2021-06-12
epiforecasts-EpiNow2,CZ,Cases,2021-05-17,4,546.11,277.130434782609,0,268.979565217391,0.7,0,1,1006,2021-06-12
EuroCOVIDhub-baseline,CZ,Deaths,2021-05-17,1,67.9047826086957,53.7826086956522,0,14.1221739130435,0.7,0,1,113,2021-05-22
IEM_Health-CovidProject,CZ,Deaths,2021-05-17,1,63.9186956521739,54.2173913043478,0,9.70130434782609,1,0,0,95,2021-05-22
ILM-EKF,CZ,Deaths,2021-05-17,1,38.4647826086957,18.5652173913044,0,19.8995652173913,0.7,0,1,67,2021-05-22
MUNI-ARIMA,CZ,Deaths,2021-05-17,1,19.4904347826087,6.86956521739131,0,12.6208695652174,0.5,1,1,34,2021-05-22
MUNI_DMS-SEIAR,CZ,Deaths,2021-05-17,1,16.8852173913043,3.73913043478261,0,13.1460869565217,0.4,1,1,26,2021-05-22
RobertWalraven-ESG,CZ,Deaths,2021-05-17,1,19.0047826086957,4.1304347826087,0,14.874347826087,0.4,1,1,29,2021-05-22
UMass-MechBayes,CZ,Deaths,2021-05-17,1,30.0060869565217,23.7391304347826,0,6.26695652173913,0.95,0,0,48,2021-05-22
UMass-SemiMech,CZ,Deaths,2021-05-17,1,37.6865217391304,29.2173913043478,0,8.46913043478261,0.95,0,0,60,2021-05-22
epiforecasts-EpiNow2,CZ,Deaths,2021-05-17,1,28.9960869565217,23.695652173913,0,5.3004347826087,0.95,0,0,45,2021-05-22
EuroCOVIDhub-baseline,CZ,Deaths,2021-05-17,2,82.1726086956522,52.9565217391304,0,29.2160869565217,0.7,0,1,150,2021-05-29
IEM_Health-CovidProject,CZ,Deaths,2021-05-17,2,68.7504347826087,57.3478260869565,0,11.4026086956522,1,0,0,101,2021-05-29
ILM-EKF,CZ,Deaths,2021-05-17,2,33.1765217391304,17.0869565217391,0,16.0895652173913,0.7,0,1,57,2021-05-29
MUNI-ARIMA,CZ,Deaths,2021-05-17,2,20.8417391304348,1.47826086956522,0,19.3634782608696,0.2,1,1,18,2021-05-29
MUNI_DMS-SEIAR,CZ,Deaths,2021-05-17,2,15.6447826086956,4.21739130434783,0,11.4273913043478,0.4,1,1,25,2021-05-29
RobertWalraven-ESG,CZ,Deaths,2021-05-17,2,20.0265217391304,1.78260869565217,0,18.2439130434783,0.2,1,1,21,2021-05-29
UMass-MechBayes,CZ,Deaths,2021-05-17,2,24.7260869565217,18.2173913043478,0,6.50869565217391,0.95,0,0,41,2021-05-29
UMass-SemiMech,CZ,Deaths,2021-05-17,2,37.3686956521739,27.4347826086957,0,9.93391304347826,0.95,0,0,61,2021-05-29
epiforecasts-EpiNow2,CZ,Deaths,2021-05-17,2,27.32,20.0434782608696,0,7.27652173913043,0.9,0,1,45,2021-05-29
EuroCOVIDhub-baseline,CZ,Deaths,2021-05-17,3,96.6904347826087,56.8260869565217,0,39.864347826087,0.7,0,1,183,2021-06-05
IEM_Health-CovidProject,CZ,Deaths,2021-05-17,3,79.9982608695652,67,0,12.9982608695652,1,0,0,113,2021-06-05
ILM-EKF,CZ,Deaths,2021-05-17,3,31.6447826086956,18.2608695652174,0,13.3839130434783,0.8,0,1,54,2021-06-05
MUNI-ARIMA,CZ,Deaths,2021-05-17,3,22.8621739130435,0.652173913043478,0,22.21,0.2,1,1,13,2021-06-05
MUNI_DMS-SEIAR,CZ,Deaths,2021-05-17,3,15.0686956521739,5.34782608695652,0,9.72086956521739,0.5,1,1,27,2021-06-05
RobertWalraven-ESG,CZ,Deaths,2021-05-17,3,22.0473913043478,1.60869565217391,0,20.4386956521739,0.2,1,1,21,2021-06-05
UMass-MechBayes,CZ,Deaths,2021-05-17,3,23.6621739130435,17.6086956521739,0,6.05347826086957,0.95,0,0,37,2021-06-05
UMass-SemiMech,CZ,Deaths,2021-05-17,3,39.8930434782609,29.1304347826087,0,10.7626086956522,0.95,0,0,64,2021-06-05
epiforecasts-EpiNow2,CZ,Deaths,2021-05-17,3,27.8073913043478,19.9130434782609,0,7.89434782608696,0.9,0,1,46,2021-06-05
EuroCOVIDhub-baseline,CZ,Deaths,2021-05-17,4,90.8669565217391,43.0434782608696,0,47.8234782608696,0.6,0,1,172,2021-06-12
IEM_Health-CovidProject,CZ,Deaths,2021-05-17,4,55.8991304347826,41.2608695652174,0,14.6382608695652,0.98,0,0,87,2021-06-12
ILM-EKF,CZ,Deaths,2021-05-17,4,12.9691304347826,1.47826086956522,0,11.4908695652174,0.3,1,1,14,2021-06-12
MUNI-ARIMA,CZ,Deaths,2021-05-17,4,25.0369565217391,0,2.26086956521739,22.7760869565217,-0.2,1,1,26,2021-06-12
MUNI_DMS-SEIAR,CZ,Deaths,2021-05-17,4,8.75478260869565,0,0.739130434782609,8.01565217391304,-0.2,1,1,9,2021-06-12
RobertWalraven-ESG,CZ,Deaths,2021-05-17,4,21.8252173913044,0,0.565217391304348,21.26,-0.1,1,1,13,2021-06-12
UMass-MechBayes,CZ,Deaths,2021-05-17,4,5.93913043478261,0.0869565217391304,0,5.85217391304348,0.1,1,1,2,2021-06-12
UMass-SemiMech,CZ,Deaths,2021-05-17,4,17.5478260869565,6.86956521739131,0,10.6782608695652,0.6,0,1,28,2021-06-12
epiforecasts-EpiNow2,CZ,Deaths,2021-05-17,4,8.85434782608696,1.43478260869565,0,7.41956521739131,0.3,1,1,11,2021-06-12
EuroCOVIDhub-baseline,DE,Cases,2021-05-17,1,4712.94434782609,2920.47826086957,0,1792.46608695652,0.6,0,1,7675,2021-05-22
FIAS_FZJ-Epi1Ger,DE,Cases,2021-05-17,1,2617.31043478261,0,1528.17391304348,1089.13652173913,-0.7,0,1,5172,2021-05-22
