model,location,target_type,forecast_date,target_val,current_val,rel_score,average,nmod
weighted.mean_ensemble,GB,Cases,2021-11-01,24920.0877316947,22283.4444565217,1.1183229675429,,5
weighted.mean_ensemble,GB,Deaths,2021-11-01,171.043372866089,105.064782608696,1.62798007685529,,5
weighted.mean_ensemble,GB,Cases,2021-11-08,33184.630752389,31999.764673913,1.0370273372492,,5
weighted.mean_ensemble,GB,Deaths,2021-11-08,187.061841766769,91.0375,2.05477788567095,,5
weighted.mean_ensemble,GB,Cases,2021-11-15,63192.6747647953,39697.0048369565,1.59187513073946,,5
weighted.mean_ensemble,GB,Deaths,2021-11-15,124.06065962654,75.0054347826087,1.65402227166751,,5
weighted.mean_ensemble,GB,Cases,2021-11-22,43182.3391133319,38978.5127173913,1.10784984092184,,5
weighted.mean_ensemble,GB,Deaths,2021-11-22,77.577312527737,81.2486956521739,0.954813020751076,,5
weighted.mean_ensemble,GB,Cases,2021-11-29,127063.217591845,109044.942065217,1.16523715071398,,5
weighted.mean_ensemble,GB,Deaths,2021-11-29,64.8702585447492,69.1297826086957,0.938383661813937,,5
weighted.mean_ensemble,GB,Cases,2021-12-06,270007.113896515,290927.458369565,0.928090856083872,,5
weighted.mean_ensemble,GB,Deaths,2021-12-06,94.2649361456126,72.455,1.30101354144797,,5
weighted.mean_ensemble,GB,Cases,2021-12-13,414349.311373243,440296.680054348,0.941068443491553,,5
weighted.mean_ensemble,GB,Deaths,2021-12-13,125.921104791513,95.5620652173913,1.31768923688557,,5
weighted.mean_ensemble,GB,Cases,2021-12-20,167087.724930472,239886.714565217,0.69652763069147,,5
weighted.mean_ensemble,GB,Deaths,2021-12-20,198.041735559057,192.341630434783,1.02963531665708,,5
weighted.mean_ensemble,GB,Cases,2021-12-27,192822.703552048,230156.500054348,0.837789519333651,,5
weighted.mean_ensemble,GB,Deaths,2021-12-27,439.398986282314,482.834021739131,0.910041476985472,,5
weighted.mean_ensemble,GB,Cases,2022-01-03,1398024.21823358,426131.062989131,3.28073764073201,,5
