model,location,target_type,forecast_date,horizon,wis,overprediction,underprediction,dispersion,bias,interval_coverage_50,interval_coverage_90,ae_median,target_end_date
ILM-EKF,BE,Deaths,2021-03-15,4,50.8217391304348,0,3.1304347826087,47.6913043478261,-0.2,1,1,42,2021-04-10
RobertWalraven-ESG,BE,Deaths,2021-03-15,4,88.4760869565218,0,67.3913043478261,21.0847826086957,-0.9,0,1,152,2021-04-10
epiforecasts-EpiExpert,BE,Deaths,2021-03-15,4,56.2126086956522,0,44,12.2126086956522,-0.9,0,1,98,2021-04-10
epiforecasts-EpiNow2,BE,Deaths,2021-03-15,4,23.0521739130435,0,0.0869565217391304,22.9652173913044,-0.1,1,1,2,2021-04-10
DSMPG-bayes,BG,Cases,2021-03-15,1,1664.48913043478,317.95652173913,0,1346.53260869565,0.4,1,1,2281,2021-03-20
EuroCOVIDhub-baseline,BG,Cases,2021-03-15,1,5047.00434782609,0,4892.73913043478,154.265217391304,-1,0,0,6535,2021-03-20
IEM_Health-CovidProject,BG,Cases,2021-03-15,1,2334.5347826087,0,915.739130434783,1418.79565217391,-0.5,1,1,4304,2021-03-20
ILM-EKF,BG,Cases,2021-03-15,1,1013.03391304348,0,14.695652173913,998.338260869565,-0.1,1,1,338,2021-03-20
epiforecasts-EpiExpert,BG,Cases,2021-03-15,1,1152.72347826087,0,430.826086956522,721.897391304348,-0.5,1,1,2097,2021-03-20
epiforecasts-EpiNow2,BG,Cases,2021-03-15,1,1439.51782608696,184.434782608696,0,1255.08304347826,0.3,1,1,1740,2021-03-20
DSMPG-bayes,BG,Cases,2021-03-15,2,6019.98869565217,2213.52173913044,0,3806.46695652174,0.6,0,1,9755,2021-03-27
EuroCOVIDhub-baseline,BG,Cases,2021-03-15,2,5199.69086956522,0,4868.13043478261,331.560434782609,-1,0,0,7223,2021-03-27
IEM_Health-CovidProject,BG,Cases,2021-03-15,2,2433.96826086957,37.3913043478261,0,2396.57695652174,0.1,1,1,860,2021-03-27
ILM-EKF,BG,Cases,2021-03-15,2,4312.35826086957,1902,0,2410.35826086957,0.6,0,1,7634,2021-03-27
epiforecasts-EpiExpert,BG,Cases,2021-03-15,2,2546.78826086957,946.695652173913,0,1600.09260869565,0.5,1,1,4448,2021-03-27
epiforecasts-EpiNow2,BG,Cases,2021-03-15,2,6199.88434782609,3177.95652173913,0,3021.92782608696,0.7,0,1,11125,2021-03-27
DSMPG-bayes,BG,Cases,2021-03-15,3,14453.3534782609,5264.30434782609,0,9189.04913043478,0.6,0,1,20841,2021-04-03
EuroCOVIDhub-baseline,BG,Cases,2021-03-15,3,4165.65913043478,0,3671.21739130435,494.441739130435,-0.95,0,0,6422,2021-04-03
IEM_Health-CovidProject,BG,Cases,2021-03-15,3,5568.83956521739,1672.34782608696,0,3896.49173913044,0.5,1,1,8916,2021-04-03
ILM-EKF,BG,Cases,2021-03-15,3,11830.2260869565,6750.91304347826,0,5079.31304347826,0.8,0,1,20185,2021-04-03
epiforecasts-EpiExpert,BG,Cases,2021-03-15,3,9825.03260869565,6702.17391304348,0,3122.85869565217,0.9,0,1,16568,2021-04-03
epiforecasts-EpiNow2,BG,Cases,2021-03-15,3,14010.7582608696,8272.69565217391,0,5738.06260869565,0.9,0,1,23528,2021-04-03
DSMPG-bayes,BG,Cases,2021-03-15,4,31227.3365217391,10893,0,20334.3365217391,0.8,0,1,38269,2021-04-10
EuroCOVIDhub-baseline,BG,Cases,2021-03-15,4,874.180869565218,0,232.04347826087,642.137391304348,-0.4,1,1,1205,2021-04-10
IEM_Health-CovidProject,BG,Cases,2021-03-15,4,13660.202173913,7636.78260869565,0,6023.41956521739,0.8,0,1,23016,2021-04-10
