target_end_date,target_type,location,location_name,anomaly
2022-03-26,Cases,PT,Portugal,large data revision
2022-04-02,Cases,AT,Austria,large data revision
2022-04-02,Deaths,GB,United Kingdom,large data revision
2022-04-02,Cases,LT,Lithuania,large data revision
2022-04-09,Cases,AT,Austria,large data revision
2022-04-09,Cases,ES,Spain,large data revision
2022-04-09,Deaths,ES,Spain,large data revision
2022-04-09,Deaths,GB,United Kingdom,large data revision
2022-04-09,Cases,LT,Lithuania,large data revision
2022-04-16,Cases,AT,Austria,large data revision
2022-04-16,Deaths,AT,Austria,large data revision
2022-04-16,Cases,ES,Spain,large data revision
2022-04-16,Deaths,GB,United Kingdom,large data revision
2022-04-16,Cases,LT,Lithuania,large data revision
2022-04-16,Cases,PT,Portugal,large data revision
2022-04-23,Deaths,AT,Austria,large data revision
2022-04-23,Cases,ES,Spain,large data revision
2022-04-23,Deaths,ES,Spain,large data revision
2022-04-23,Deaths,GB,United Kingdom,large data revision
2022-04-23,Cases,LT,Lithuania,large data revision
2022-04-23,Cases,PT,Portugal,large data revision
2022-04-30,Cases,AT,Austria,large data revision
2022-04-30,Cases,ES,Spain,large data revision
2022-04-30,Deaths,ES,Spain,large data revision
2022-04-30,Deaths,GB,United Kingdom,large data revision
2022-04-30,Cases,LT,Lithuania,large data revision
2022-04-30,Cases,PT,Portugal,large data revision
2022-05-07,Deaths,AT,Austria,large data revision
2022-05-07,Cases,ES,Spain,large data revision
2022-05-07,Deaths,ES,Spain,large data revision
2022-05-07,Deaths,GB,United Kingdom,large data revision
2022-05-07,Cases,LT,Lithuania,large data revision
2022-05-07,Deaths,LT,Lithuania,large data revision
2022-05-07,Cases,PT,Portugal,large data revision
2022-05-14,Deaths,AT,Austria,large data revision
2022-05-14,Deaths,GB,United Kingdom,large data revision
2022-05-14,Cases,LT,Lithuania,large data revision
2022-05-14,Deaths,LT,Lithuania,large data revision
2022-05-14,Cases,LU,Luxembourg,large data revision
2022-05-14,Cases,PT,Portugal,large data revision
2022-05-21,Deaths,GB,United Kingdom,large data revision
2022-05-21,Cases,LT,Lithuania,large data revision
2022-05-21,Deaths,LT,Lithuania,large data revision
2022-05-21,Cases,LU,Luxembourg,large data revision
2022-05-21,Deaths,LU,Luxembourg,large data revision
2022-05-21,Cases,PT,Portugal,large data revision
2022-05-28,Deaths,GB,United Kingdom,large data revision
2022-05-28,Cases,LT,Lithuania,large data revision
2022-05-28,Deaths,LT,Lithuania,large data revision
2022-05-28,Cases,LU,Luxembourg,large data revision
2022-05-28,Deaths,LU,Luxembourg,large data revision
2022-06-04,Deaths,GB,United Kingdom,large data revision
2022-06-04,Cases,LT,Lithuania,large data revision
2022-06-11,Deaths,GB,United Kingdom,large data revision
2022-06-11,Cases,LT,Lithuania,large data revision
2022-06-11,Deaths,LT,Lithuania,large data revision
2022-06-18,Deaths,GB,United Kingdom,large data revision
2022-06-18,Cases,LT,Lithuania,large data revision
2022-06-18,Deaths,LT,Lithuania,large data revision
2022-06-18,Cases,RO,Romania,large data revision
2022-06-25,Deaths,GB,United Kingdom,large data revision
2022-06-25,Cases,LT,Lithuania,large data revision
2022-06-25,Deaths,LT,Lithuania,large data revision
2022-07-09,Deaths,GB,United Kingdom,large data revision
2022-07-16,Deaths,GB,United Kingdom,large data revision
2022-07-23,Deaths,GB,United Kingdom,large data revision
2022-07-30,Deaths,GB,United Kingdom,large data revision
2022-08-06,Deaths,GB,United Kingdom,large data revision
2022-08-13,Deaths,GB,United Kingdom,large data revision
2021-03-06,Cases,ES,Spain,Negative case reporting
