model,target_type,location,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,relative_skill,scaled_rel_skill
HZI-AgeExtendedSEIR,Deaths,DE,3,155.470274102079,57.779347826087,16.9045368620038,80.7863894139887,0.0268809073724008,0.146739130434783,220.54347826087,0.656284129496162,0.714642943154826
HZI-AgeExtendedSEIR,Deaths,DE,4,229.974130434783,84.4419943289225,26.0916824196597,119.4404536862,0.0344423440453686,0.148478260869565,337.065217391304,0.713403458500938,0.862054929443757
ICM-agentModel,Cases,PL,1,12769.2278754941,5132.82372529644,3538.42984189723,4097.9743083004,-0.094703557312253,0.132045454545455,16818.2045454545,1.18706031243259,0.821941805796513
ICM-agentModel,Cases,PL,2,25680.8281521739,5627.11174901186,7344.53458498024,12709.1818181818,-0.31802371541502,0.161136363636364,35169.6590909091,0.975528281665018,0.774768305554625
ICM-agentModel,Cases,PL,3,37508.2844960474,4949.72817193676,10714.2855731225,21844.2707509881,-0.337786561264822,0.126363636363636,47765.0681818182,0.779857580677043,0.745449537120012
ICM-agentModel,Cases,PL,4,47983.0659387352,4347.82977272727,14259.0335968379,29376.20256917,-0.351620553359684,0.131363636363636,59329.75,0.700101591508684,0.766529443264101
ICM-agentModel,Deaths,PL,1,208.001343873518,98.2375098814229,43.7648221343874,65.9990118577075,-0.123359683794466,-0.162954545454545,317.795454545455,1.30767217714265,1.22621539772334
ICM-agentModel,Deaths,PL,2,331.805652173913,125.081343873518,61.9288537549407,144.795454545455,-0.203399209486166,-0.00954545454545454,480.340909090909,1.24251856550326,0.976148241609537
ICM-agentModel,Deaths,PL,3,334.75523715415,128.440019762846,49.8824110671937,156.432806324111,-0.181660079051383,0.0520454545454545,486.204545454546,0.759010385171087,0.584108367247231
ICM-agentModel,Deaths,PL,4,399.967045454546,122.409733201581,62.7934782608696,214.763833992095,-0.227114624505929,0.0731818181818182,557.772727272727,0.595530978710368,0.499313776953405
IEM_Health-CovidProject,Cases,CZ,1,9261.59632107023,2670.92324414716,3523.93143812709,3066.74163879599,-0.0858862876254181,0.0217307692307692,14022.5576923077,1.21364355259662,0.818983918701086
IEM_Health-CovidProject,Cases,CZ,2,22448.1176003345,3599.10840301003,8332.19648829432,10516.8127090301,-0.167826086956522,0.0876923076923077,29897.5192307692,1.21499164732418,0.865452071943173
IEM_Health-CovidProject,Cases,CZ,3,37912.1612625418,5478.52413879599,13282.2508361204,19151.3862876254,-0.219665551839465,0.0486538461538461,49790.2692307692,1.24796565280054,0.994322306817477
IEM_Health-CovidProject,Cases,CZ,4,50314.1320819398,8988.34863712375,16374.5568561873,24951.2265886288,-0.244749163879599,-0.02,67158.4423076923,1.27020819398709,1.11362273054113
IEM_Health-CovidProject,Deaths,CZ,1,36.7325,15.9080852842809,4.69481605351171,16.1295986622074,-0.0833779264214047,0.164038461538462,55.7307692307692,0.921816748920223,0.653924862206497
IEM_Health-CovidProject,Deaths,CZ,2,81.2639632107024,21.8308528428094,11.8896321070234,47.5434782608696,-0.196254180602007,0.253076923076923,126,1.20011926000787,0.73506484230864
IEM_Health-CovidProject,Deaths,CZ,3,140.71516722408,31.3138294314381,18.9155518394649,90.4857859531773,-0.208795986622074,0.311923076923077,211.076923076923,1.32421151701421,0.835087595043456
IEM_Health-CovidProject,Deaths,CZ,4,215.545702341137,50.2589130434783,24.0677257525084,141.219063545151,-0.225518394648829,0.241730769230769,314.673076923077,1.42641174236449,0.974539168419571
IEM_Health-CovidProject,Cases,DE,1,28583.9009615385,15945.0196906355,4488.79765886288,8150.08361204014,0.0177926421404682,0.101153846153846,39535.0769230769,1.19115785358623,1.21272378005369
IEM_Health-CovidProject,Cases,DE,2,62985.4743394649,21548.320493311,17925.0075250836,23512.1463210702,-0.161137123745819,0.0951923076923077,98253.1923076923,1.00971933352847,1.04579657501519
IEM_Health-CovidProject,Cases,DE,3,117637.102583612,32410.5892056856,37439.7658862876,47786.7474916388,-0.224682274247492,0.0667307692307692,176451.076923077,1.06469730842657,1.25531189907653
IEM_Health-CovidProject,Cases,DE,4,176842.595526756,52994.0612458194,56075.3210702341,67773.2132107024,-0.241404682274248,0.0394230769230769,256708.288461539,1.10707204464535,1.5003666556801
IEM_Health-CovidProject,Deaths,DE,1,145.524607023411,78.8155769230769,21.3177257525084,45.3913043478261,0.0579264214046823,-0.0544230769230769,234.230769230769,1.36101393101016,1.51460688334773
IEM_Health-CovidProject,Deaths,DE,2,254.668260869565,107.52110367893,39.2065217391304,107.940635451505,0.0111036789297659,0.00480769230769229,395.153846153846,1.36656475268696,1.44065036819611
IEM_Health-CovidProject,Deaths,DE,3,413.187198996656,150.675493311037,61.0142140468228,201.497491638796,-0.045752508361204,0.0592307692307692,643.115384615385,1.57058634113025,1.71024773395904
IEM_Health-CovidProject,Deaths,DE,4,623.535100334448,228.263361204013,85.0660535117057,310.205685618729,-0.0608026755852843,0.0701923076923077,945.865384615385,1.70113915038639,2.05560454296343
IEM_Health-CovidProject,Cases,FR,1,71708.9369063545,21854.2680100334,17653.5175585284,32201.1513377926,-0.0925752508361204,0.159615384615385,111108.192307692,0.889275217198627,0.741607025989519
IEM_Health-CovidProject,Cases,FR,2,142950.359381271,28058.4438294314,41748.2015050167,73143.7140468228,-0.181204013377926,0.124615384615385,203362.173076923,0.885846054611973,0.806919511086572
IEM_Health-CovidProject,Cases,FR,3,222622.052416388,39029.7898745819,67972.9807692308,115619.281772575,-0.241404682274248,0.0844230769230769,313410.384615385,0.880286254415056,0.898957770614677
IEM_Health-CovidProject,Cases,FR,4,277469.062683947,57646.8101755853,83803.6981605351,136018.554347826,-0.249765886287625,0.0496153846153846,396253.230769231,0.848788346928927,0.88426272753298
IEM_Health-CovidProject,Deaths,FR,1,148.14856187291,82.4203010033445,11.8946488294314,53.8336120401338,0.0846822742474916,0.212115384615385,227.326923076923,0.889559341342284,1.02086883254992
IEM_Health-CovidProject,Deaths,FR,2,230.004389632107,108.209239130435,18.5836120401338,103.211538461538,0.0194648829431438,0.209230769230769,361.25,1.06954813671198,1.01435517690149
