ensid,model,modelid,k
42,epiforecasts-EpiExpert,9,12
42,epiforecasts-EpiNow2,10,12
42,epiforecasts-EpiExpert_Rt,11,12
42,Karlen-pypm,12,12
43,EuroCOVIDhub-baseline,1,12
43,ICM-agentModel,2,12
43,IEM_Health-CovidProject,3,12
43,ILM-EKF,4,12
43,ITWW-county_repro,5,12
43,MIMUW-StochSEIR,6,12
43,MIT_CovidAnalytics-DELPHI,7,12
43,MOCOS-agent1,8,12
43,epiforecasts-EpiExpert,9,12
43,epiforecasts-EpiNow2,10,12
43,epiforecasts-EpiExpert_direct,11,12
43,MUNI-ARIMA,12,12
44,EuroCOVIDhub-baseline,1,12
44,ICM-agentModel,2,12
44,IEM_Health-CovidProject,3,12
44,ILM-EKF,4,12
44,ITWW-county_repro,5,12
44,MIMUW-StochSEIR,6,12
44,MIT_CovidAnalytics-DELPHI,7,12
44,MOCOS-agent1,8,12
44,epiforecasts-EpiExpert,9,12
44,epiforecasts-EpiNow2,10,12
44,epiforecasts-EpiExpert_direct,11,12
44,Karlen-pypm,12,12
45,EuroCOVIDhub-baseline,1,12
45,ICM-agentModel,2,12
45,IEM_Health-CovidProject,3,12
45,ILM-EKF,4,12
45,ITWW-county_repro,5,12
45,MIMUW-StochSEIR,6,12
45,MIT_CovidAnalytics-DELPHI,7,12
45,MOCOS-agent1,8,12
45,epiforecasts-EpiExpert,9,12
45,epiforecasts-EpiNow2,10,12
45,MUNI-ARIMA,11,12
45,Karlen-pypm,12,12
46,EuroCOVIDhub-baseline,1,12
46,ICM-agentModel,2,12
46,IEM_Health-CovidProject,3,12
46,ILM-EKF,4,12
46,ITWW-county_repro,5,12
46,MIMUW-StochSEIR,6,12
46,MIT_CovidAnalytics-DELPHI,7,12
46,MOCOS-agent1,8,12
46,epiforecasts-EpiExpert,9,12
46,UMass-MechBayes,10,12
46,epiforecasts-EpiExpert_Rt,11,12
46,epiforecasts-EpiExpert_direct,12,12
47,EuroCOVIDhub-baseline,1,12
47,ICM-agentModel,2,12
47,IEM_Health-CovidProject,3,12
47,ILM-EKF,4,12
47,ITWW-county_repro,5,12
47,MIMUW-StochSEIR,6,12
47,MIT_CovidAnalytics-DELPHI,7,12
47,MOCOS-agent1,8,12
47,epiforecasts-EpiExpert,9,12
47,UMass-MechBayes,10,12
47,epiforecasts-EpiExpert_Rt,11,12
47,MUNI-ARIMA,12,12
48,EuroCOVIDhub-baseline,1,12
48,ICM-agentModel,2,12
48,IEM_Health-CovidProject,3,12
48,ILM-EKF,4,12
48,ITWW-county_repro,5,12
48,MIMUW-StochSEIR,6,12
48,MIT_CovidAnalytics-DELPHI,7,12
48,MOCOS-agent1,8,12
48,epiforecasts-EpiExpert,9,12
48,UMass-MechBayes,10,12
48,epiforecasts-EpiExpert_Rt,11,12
48,Karlen-pypm,12,12
49,EuroCOVIDhub-baseline,1,12
49,ICM-agentModel,2,12
49,IEM_Health-CovidProject,3,12
49,ILM-EKF,4,12
49,ITWW-county_repro,5,12
49,MIMUW-StochSEIR,6,12
49,MIT_CovidAnalytics-DELPHI,7,12
49,MOCOS-agent1,8,12
49,epiforecasts-EpiExpert,9,12
49,UMass-MechBayes,10,12
49,epiforecasts-EpiExpert_direct,11,12
49,MUNI-ARIMA,12,12
50,EuroCOVIDhub-baseline,1,12
50,ICM-agentModel,2,12
50,IEM_Health-CovidProject,3,12
50,ILM-EKF,4,12
50,ITWW-county_repro,5,12
50,MIMUW-StochSEIR,6,12
50,MIT_CovidAnalytics-DELPHI,7,12
50,MOCOS-agent1,8,12
50,epiforecasts-EpiExpert,9,12
50,UMass-MechBayes,10,12
50,epiforecasts-EpiExpert_direct,11,12
50,Karlen-pypm,12,12
51,EuroCOVIDhub-baseline,1,12
51,ICM-agentModel,2,12
51,IEM_Health-CovidProject,3,12
51,ILM-EKF,4,12
51,ITWW-county_repro,5,12
51,MIMUW-StochSEIR,6,12
51,MIT_CovidAnalytics-DELPHI,7,12
51,MOCOS-agent1,8,12
51,epiforecasts-EpiExpert,9,12
51,UMass-MechBayes,10,12
51,MUNI-ARIMA,11,12
51,Karlen-pypm,12,12
52,EuroCOVIDhub-baseline,1,12
52,ICM-agentModel,2,12
52,IEM_Health-CovidProject,3,12
52,ILM-EKF,4,12
52,ITWW-county_repro,5,12
52,MIMUW-StochSEIR,6,12
52,MIT_CovidAnalytics-DELPHI,7,12
52,MOCOS-agent1,8,12
52,epiforecasts-EpiExpert,9,12
52,epiforecasts-EpiExpert_Rt,10,12
52,epiforecasts-EpiExpert_direct,11,12
52,MUNI-ARIMA,12,12
53,EuroCOVIDhub-baseline,1,12
53,ICM-agentModel,2,12
53,IEM_Health-CovidProject,3,12
53,ILM-EKF,4,12
53,ITWW-county_repro,5,12
53,MIMUW-StochSEIR,6,12
53,MIT_CovidAnalytics-DELPHI,7,12
53,MOCOS-agent1,8,12
53,epiforecasts-EpiExpert,9,12
53,epiforecasts-EpiExpert_Rt,10,12
53,epiforecasts-EpiExpert_direct,11,12
53,Karlen-pypm,12,12
54,EuroCOVIDhub-baseline,1,12
54,ICM-agentModel,2,12
54,IEM_Health-CovidProject,3,12
54,ILM-EKF,4,12
54,ITWW-county_repro,5,12
54,MIMUW-StochSEIR,6,12
54,MIT_CovidAnalytics-DELPHI,7,12
54,MOCOS-agent1,8,12
54,epiforecasts-EpiExpert,9,12
54,epiforecasts-EpiExpert_Rt,10,12
54,MUNI-ARIMA,11,12
54,Karlen-pypm,12,12
55,EuroCOVIDhub-baseline,1,12
55,ICM-agentModel,2,12
55,IEM_Health-CovidProject,3,12
55,ILM-EKF,4,12
55,ITWW-county_repro,5,12
55,MIMUW-StochSEIR,6,12
55,MIT_CovidAnalytics-DELPHI,7,12
55,MOCOS-agent1,8,12
55,epiforecasts-EpiExpert,9,12
55,epiforecasts-EpiExpert_direct,10,12
55,MUNI-ARIMA,11,12
55,Karlen-pypm,12,12
56,EuroCOVIDhub-baseline,1,12
56,ICM-agentModel,2,12
56,IEM_Health-CovidProject,3,12
56,ILM-EKF,4,12
56,ITWW-county_repro,5,12
56,MIMUW-StochSEIR,6,12
56,MIT_CovidAnalytics-DELPHI,7,12
56,MOCOS-agent1,8,12
56,epiforecasts-EpiNow2,9,12
56,UMass-MechBayes,10,12
56,epiforecasts-EpiExpert_Rt,11,12
56,epiforecasts-EpiExpert_direct,12,12
57,EuroCOVIDhub-baseline,1,12
57,ICM-agentModel,2,12
57,IEM_Health-CovidProject,3,12
57,ILM-EKF,4,12
57,ITWW-county_repro,5,12
57,MIMUW-StochSEIR,6,12
57,MIT_CovidAnalytics-DELPHI,7,12
57,MOCOS-agent1,8,12
57,epiforecasts-EpiNow2,9,12
57,UMass-MechBayes,10,12
57,epiforecasts-EpiExpert_Rt,11,12
57,MUNI-ARIMA,12,12
58,EuroCOVIDhub-baseline,1,12
58,ICM-agentModel,2,12
58,IEM_Health-CovidProject,3,12
58,ILM-EKF,4,12
58,ITWW-county_repro,5,12
58,MIMUW-StochSEIR,6,12
58,MIT_CovidAnalytics-DELPHI,7,12
58,MOCOS-agent1,8,12
58,epiforecasts-EpiNow2,9,12
58,UMass-MechBayes,10,12
58,epiforecasts-EpiExpert_Rt,11,12
58,Karlen-pypm,12,12
59,EuroCOVIDhub-baseline,1,12
59,ICM-agentModel,2,12
59,IEM_Health-CovidProject,3,12
59,ILM-EKF,4,12
59,ITWW-county_repro,5,12
59,MIMUW-StochSEIR,6,12
59,MIT_CovidAnalytics-DELPHI,7,12
59,MOCOS-agent1,8,12
59,epiforecasts-EpiNow2,9,12
59,UMass-MechBayes,10,12
59,epiforecasts-EpiExpert_direct,11,12
59,MUNI-ARIMA,12,12
60,EuroCOVIDhub-baseline,1,12
60,ICM-agentModel,2,12
60,IEM_Health-CovidProject,3,12
60,ILM-EKF,4,12
60,ITWW-county_repro,5,12
60,MIMUW-StochSEIR,6,12
60,MIT_CovidAnalytics-DELPHI,7,12
